Frequency NON_00 NON_01 NON_11 IBD_00 IBD_01 IBD_11
0.650 0.12797483 0.42260742 0.44941775 0.35681474 0.01184071 0.63134455
0.652 0.12638588 0.42101008 0.45260404 0.35321327 0.01187320 0.63491353
0.654 0.12479693 0.41941274 0.45579033 0.34961179 0.01190569 0.63848252
0.656 0.12318665 0.41898343 0.45782992 0.34681823 0.01196662 0.64121515
0.658 0.12155503 0.41972216 0.45872281 0.34483257 0.01205600 0.64311144
0.660 0.11992341 0.42046089 0.45961571 0.34284691 0.01214537 0.64500772
0.662 0.11829179 0.42119961 0.46050860 0.34086125 0.01223474 0.64690401
0.664 0.11666017 0.42193834 0.46140149 0.33887559 0.01232411 0.64880029
0.666 0.11533707 0.42112900 0.46353392 0.33680525 0.01246567 0.65072908
0.668 0.11432250 0.41877160 0.46690589 0.33465022 0.01265942 0.65269036
0.670 0.11330793 0.41641420 0.47027786 0.33249519 0.01285317 0.65465164
0.672 0.11229336 0.41405680 0.47364983 0.33034016 0.01304692 0.65661292
0.674 0.11127879 0.41169940 0.47702181 0.32818513 0.01324067 0.65857420
0.676 0.11016214 0.40925339 0.48058447 0.32609553 0.01308518 0.66081929
0.678 0.10894340 0.40671876 0.48433784 0.32407137 0.01258046 0.66334818
0.680 0.10772466 0.40418414 0.48809120 0.32204720 0.01207573 0.66587707
0.682 0.10650592 0.40164951 0.49184457 0.32002303 0.01157101 0.66840596
0.684 0.10528718 0.39911488 0.49559793 0.31799886 0.01106629 0.67093485
0.686 0.10378564 0.39792616 0.49828821 0.31477358 0.01079106 0.67443535
